host,target
CPSF1,MOG
CPSF1,C20orf144
CPSF1,MCTS1
CPSF1,OR7D2
CPSF1,C1orf158
CPSF1,PLXNA3
CPSF1,NFATC2IP
CPSF1,NCKAP1
CPSF1,FITM2
CPSF1,FAM151B
CPSF1,CNDP1
CPSF1,ANGPTL3
CPSF1,IRAK1BP1
CPSF1,RPS19
CPSF1,C5AR2
CPSF1,ZNF101
CPSF1,RBM23
CPSF1,PPIL6
CPSF1,C17orf105
CPSF1,FAHD1
CPSF1,GLG1
CPSF1,DNA2
CPSF1,ALDH1B1
CPSF1,PARD3
CPSF1,CENPL
CPSF1,ZNF383
CPSF1,PPIL4
CPSF1,NLRP9
CPSF1,AAR2
CPSF1,STX4
CPSF1,ANKS4B
CPSF1,PLAC8
CPSF1,MRPS21
CPSF1,LYZ
CPSF1,DOCK7
CPSF1,ZYG11A
CPSF1,UBXN2A
CPSF1,TVP23C
CPSF1,TGFBR1
CPSF1,SIX4
CPSF1,SAR1A
CPSF1,PTPRF
CPSF1,FAM234B
CPSF1,ITPRIPL2
CPSF1,IRGQ
CPSF1,HMX3
CPSF1,HERPUD2
CPSF1,RTL8C
CPSF1,DDX19B
CPSF1,DCTN6
CPSF1,CHRFAM7A
CPSF1,TRUB2
CPSF1,MTRF1L
CPSF1,KCNK1
CPSF1,MSH3
CPSF1,KCNC3
CPSF1,PHF7
CPSF1,SHE
CPSF1,MT1A
CPSF1,TERF1
CPSF1,RNF125
CPSF1,POLR2E
CPSF1,TMPRSS11BNL
CPSF1,MPPED1
CPSF1,DSTYK
CPSF1,PSMF1
CPSF1,CDT1
CPSF1,ITPKB
CPSF1,SNRPD3
CPSF1,SPRED3
CPSF1,PHKG2
CPSF1,CRCP
CPSF1,SH3D19
CPSF1,PLXNA2
CPSF1,COA4
CPSF1,RNPEPL1
CPSF1,AHCYL2
CPSF1,ANP32B
CPSF1,ATG12
CPSF1,BAP1
CPSF1,CLDN4
CPSF1,CTDSP1
CPSF1,DAZAP1
CPSF1,FBRS
CPSF1,FBXW8
CPSF1,FIGNL1
CPSF1,GPR107
CPSF1,KLC2
CPSF1,LMNB2
CPSF1,NFIC
CPSF1,PCNP
CPSF1,PGAM1
CPSF1,PSMG4
CPSF1,RALY
CPSF1,SLC43A2
CPSF1,SUSD6
CPSF1,TIRAP
CPSF1,WBP11
CPSF1,ZNF175
CPSF1,ZNF835
CPSF1,AGTPBP1
CPSF1,ARSE
CPSF1,B3GALNT2
CPSF1,BCAS4
CPSF1,BROX
CPSF1,C6orf141
CPSF1,C9orf3
CPSF1,CAD
CPSF1,CAPZB
CPSF1,CARD6
CPSF1,CCDC8
CPSF1,CD300LD
CPSF1,CLDN16
CPSF1,CYP4F3
CPSF1,DDX52
CPSF1,DFFB
CPSF1,DSEL
CPSF1,EXOSC2
CPSF1,FAM117B
CPSF1,FBXO47
CPSF1,FOXJ3
CPSF1,FOXL2NB
CPSF1,FYTTD1
CPSF1,GLB1L3
CPSF1,HACD2
CPSF1,HERPUD1
CPSF1,HMGN2
CPSF1,KCNN3
CPSF1,KDSR
CPSF1,KIF5B
CPSF1,KLF10
CPSF1,KLK4
CPSF1,LAMC3
CPSF1,LPIN3
CPSF1,LRRC32
CPSF1,MARCH6
CPSF1,MCRIP2
CPSF1,MRM3
CPSF1,MTHFD1
CPSF1,MTURN
CPSF1,MTX3
CPSF1,NME1-NME2
CPSF1,ORC6
CPSF1,PCBD2
CPSF1,PDF
CPSF1,PIAS2
CPSF1,PLEKHG2
CPSF1,PRND
CPSF1,PSENEN
CPSF1,RABGAP1L
CPSF1,RASSF9
CPSF1,REEP4
CPSF1,RETREG3
CPSF1,RHNO1
CPSF1,RHPN2
CPSF1,RPL23
CPSF1,SMTNL2
CPSF1,SPC24
CPSF1,TATDN3
CPSF1,TMEM169
CPSF1,TNPO1
CPSF1,TPRG1L
CPSF1,TRAF3IP1
CPSF1,TRAPPC2B
CPSF1,TRPV1
CPSF1,TSPEAR-AS2
CPSF1,VHLL
CPSF1,VHL
CPSF1,WT1
CPSF1,ZNF451
CPSF1,ZNF699
CPSF1,ZNF850
CPSF1,CCDC69
CPSF1,FAM109A
CPSF1,HSBP1
CPSF1,KLHL11
CPSF1,OTULIN
CPSF1,TSPAN14
CPSF1,UBC
CPSF1,FURIN
CPSF1,NRG2
CPSF1,UQCRFS1
LIN7A,NTRK3
LIN7A,MFSD6
LIN7A,NUDT3
LIN7A,THYN1
LIN7A,CLPX
LIN7A,CCPG1
LIN7A,URM1
LIN7A,GCM2
LIN7A,LITAF
LIN7A,EIF1AX
LIN7A,EXTL3
LIN7A,C15orf59
LIN7A,MBD4
LIN7A,TMEM101
LIN7A,YTHDF1
LIN7A,PRMT6
LIN7A,NKIRAS1
LIN7A,TRIM10
LIN7A,SAMD4A
LIN7A,KLF7
LIN7A,TMEM132B
LIN7A,EHD4
LIN7A,DNAJC21
LIN7A,BRS3
LIN7A,TMEM78
LIN7A,ZCCHC2
LIN7A,SYNGR1
LIN7A,PLXDC2
LIN7A,LPP
LIN7A,FAM221B
LIN7A,PKHD1
LIN7A,LIMCH1
LIN7A,MAST3
LIN7A,UBL3
LIN7A,TMEM2
LIN7A,MRPL37
LIN7A,GID4
LIN7A,ATP11A
LIN7A,PDIK1L
LIN7A,GRIK3
LIN7A,COLEC10
LIN7A,MYH15
LIN7A,NECAB1
LIN7A,IFRD1
LIN7A,CBX5
LIN7A,HECW2
LIN7A,ZNF321P
LIN7A,IMPG1
LIN7A,KCNJ10
LIN7A,NFAM1
LIN7A,PABPC1
LIN7A,FIBCD1
LIN7A,PBX1
LIN7A,ARHGAP19-SLIT1
HSP90B1,BIRC5
HSP90B1,DNAJB9
HSP90B1,UBN2
HSP90B1,SLC26A2
HSP90B1,TFPI
HSP90B1,AKAP1
HSP90B1,ILK
HSP90B1,OSBPL10
HSP90B1,SMOX
HSP90B1,VPS37C
HSP90B1,PIGO
HSP90B1,HMOX1
HSP90B1,SUPT16H
HSP90B1,RPS14
HSP90B1,REL
HSP90B1,RAB5B
HSP90B1,PTEN
HSP90B1,PPP1R11
HSP90B1,PODXL
HSP90B1,MAP3K9
HSP90B1,FHL2
HSP90B1,ADAR
HSP90B1,CD3E
HSP90B1,FBXO40
HSP90B1,ZBED3
HSP90B1,GJA5
HSP90B1,PRMT3
HSP90B1,AP3B2
HSP90B1,ORC4
HSP90B1,ZNF485
HSP90B1,UTP4
HSP90B1,MAPK8IP3
HSP90B1,SLC2A1
HSP90B1,RTL8A
HSP90B1,EDEM3
HSP90B1,TOMM70
HSP90B1,THOC5
HSP90B1,GTF2F1
HSP90B1,SEPT14
HSP90B1,COPA
HSP90B1,CEP89
HSP90B1,PYCARD
HSP90B1,TRAM2
HSP90B1,MCAM
HSP90B1,FBXO27
HSP90B1,YWHAB
HSP90B1,TIMM29
HSP90B1,SLC4A1
HSP90B1,SNX3
HSP90B1,YIPF4
HSP90B1,PARVB
HSP90B1,HSPA4L
HSP90B1,ABCF1
HSP90B1,RBM43
HSP90B1,ERC1
HSP90B1,AP1S1
HSP90B1,PRELID1
HSP90B1,L2HGDH
HSP90B1,SAMD4B
HSP90B1,DNAJC10
HSP90B1,ORC6
HSP90B1,HM13
HSP90B1,C9orf62
HSP90B1,MKI67
HSP90B1,IDS
HSP90B1,POM121L7P
HSP90B1,HEBP2
HSP90B1,ABL2
HSP90B1,BTN3A2
HSP90B1,RHBDL2
HSP90B1,PHLDA3
HSP90B1,ANG
HSP90B1,SNX22
HSP90B1,ZFP14
HSP90B1,CRISPLD2
HSP90B1,SYAP1
HSP90B1,CCS
HSP90B1,MTO1
HSP90B1,LACTB
HSP90B1,HLA-E
HSP90B1,MEAF6
HSP90B1,TIAL1
HSP90B1,C10orf67
HSP90B1,METTL27
HSP90B1,POU2F3
HSP90B1,ORAI2
HSP90B1,NAA50
HSP90B1,MAGI3
HSP90B1,DGKE
HSP90B1,AGAP9
HSP90B1,AKR7L
HSP90B1,OPTN
HSP90B1,MKLN1
HSP90B1,CHDH
HSP90B1,FIG4
HSP90B1,SF3A1
HSP90B1,HS3ST1
HSP90B1,TSHZ2
HSP90B1,THAP2
HSP90B1,TAS2R5
HSP90B1,KAT7
HSP90B1,CYB5D1
HSP90B1,F2RL1
HSP90B1,CINP
HSP90B1,UNC13A
HSP90B1,ADM2
HSP90B1,RFC2
HSP90B1,WDR31
HSP90B1,NOM1
HSP90B1,NARS
HSP90B1,TERF2
HSP90B1,NIP7
HSP90B1,ARHGEF5
HSP90B1,ZBTB8A
HSP90B1,SMTNL2
HSP90B1,PSMB5
